SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
126306	6315300	0.016	-0.011	0.0336	-0.0231
126307	6315350	0.015	-0.011	0.0315	-0.0231
126308	6315400	0.013	-0.011	0.0273	-0.0231
126309	6315450	0.013	-0.012	0.0273	-0.0252
126310	6315500	0.015	-0.013	0.0315	-0.0273
126311	6315550	0.016	-0.012	0.0336	-0.0252
126312	6315600	0.015	-0.013	0.0315	-0.0273
126313	6315650	0.014	-0.013	0.0294	-0.0273
126314	6315700	0.014	-0.013	0.0294	-0.0273
126315	6315750	0.014	-0.013	0.0294	-0.0273
126316	6315800	0.013	-0.012	0.0273	-0.0252
126317	6315850	0.012	-0.013	0.0252	-0.0273
126318	6315900	0.013	-0.012	0.0273	-0.0252
126319	6315950	0.013	-0.012	0.0273	-0.0252
126320	6316000	0.015	-0.012	0.0315	-0.0252
126321	6316050	0.016	-0.012	0.0336	-0.0252
126322	6316100	0.014	-0.013	0.0294	-0.0273
126323	6316150	0.011	-0.013	0.0231	-0.0273
126324	6316200	0.012	-0.014	0.0252	-0.0294
126325	6316250	0.014	-0.014	0.0294	-0.0294
126326	6316300	0.014	-0.013	0.0294	-0.0273
126327	6316350	0.014	-0.013	0.0294	-0.0273
126328	6316400	0.015	-0.014	0.0315	-0.0294
126329	6316450	0.016	-0.015	0.0336	-0.0315
126330	6316500	0.014	-0.015	0.0294	-0.0315
126331	6316550	0.014	-0.015	0.0294	-0.0315
126332	6316600	0.013	-0.013	0.0273	-0.0273
126333	6316650	0.013	-0.012	0.0273	-0.0252
126334	6316700	0.015	-0.012	0.0315	-0.0252
